DB,Concurrency,Param,Times
influxdb,60,100,74.825
influxdb,70,100,93.24857143
influxdb,80,100,126.485
influxdb,90,100,125.0311111
influxdb,100,100,167.57
influxdb,110,100,114.8572727
influxdb,120,100,126.7108333
influxdb,130,100,158.9007692
influxdb,140,100,321.9071429
influxdb,150,100,232.424
influxdb,160,100,210.7475
